,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
64,1.1153353355546221e-07,2.7365608891636606e-08,2.2594665126959324e-08,2.3040536393018257e-08,5.4933390079566425e-09,2.5356552563738784e-08,-3.236100424861164e-08,2.8768003045896446e-09,-5.047838292009146e-10,-7.023258229822441e-10,2.4880724681209073e-08,4.4609077109420094e-08,1.0409436202337322e-09,-1.1836596251457131e-08
65,1.0524258410778415e-07,3.969293522226073e-09,2.1611552584636358e-07,2.0511320906331428e-08,9.815372276280397e-08,-2.7695546100043048e-08,1.3962923147125875e-07,1.6584360280333664e-08,3.346693803096296e-10,-7.386134527787376e-11,1.5079518626967923e-07,-8.458693967324213e-09,2.7582570704854515e-08,2.0571469940878507e-08
66,-2.5422046512471814e-07,-7.759390088649602e-08,-1.58147344293817e-07,-4.7287305444351406e-08,-2.821002124356102e-07,-1.1438956147924619e-07,-1.173232720558535e-07,-3.044667580915449e-08,-3.358039958166838e-10,5.073964356756333e-10,-2.237617117435665e-07,-4.888248239165949e-08,-3.0295000558937296e-08,-3.5911546446881955e-08
67,5.03931477083381e-08,7.601945490597154e-08,-1.0947620661324148e-07,3.506224712805724e-08,2.0209529782024966e-07,1.0117618449795438e-07,-6.110140323876534e-08,6.792195741856151e-09,-3.1441559808236257e-10,-6.152577030670913e-11,8.369323155572674e-10,6.131455701377187e-08,-1.410066575466194e-09,2.244284308027658e-08
68,-4.260758500982157e-08,-1.1364756194523765e-07,-6.182361503757878e-08,-1.432140303058436e-07,-6.30248497056551e-08,-4.5428975196288455e-08,-1.0768811554269485e-07,-1.1508537136301018e-07,-1.1843726706177865e-09,-1.4211866590837218e-09,-2.9946549351432284e-08,-1.2118889912692168e-07,1.5953311137819766e-09,9.871540175653427e-09
69,1.0749920053647749e-07,8.409410943286738e-08,1.5722732188610645e-07,1.0405858719435559e-07,9.750735789974239e-08,5.979508922977618e-08,1.2474586469989833e-07,8.629722818905267e-08,2.127831305180596e-09,1.5134514441612855e-09,1.5237251071405055e-07,6.403834923879316e-08,8.647983600357893e-09,-2.6576249817156344e-08
70,-8.659193326296237e-08,-3.429238403041735e-08,-3.936010708130722e-08,1.4955404966441763e-08,-1.6699402564470029e-07,-5.092254072493355e-08,6.327777608528796e-08,2.296445498742291e-08,5.257041395958199e-10,1.0507996497778816e-10,-5.4401129550902086e-08,-2.1376585952937927e-08,-6.353391711375032e-09,1.3050388290278316e-08
71,2.8281645306434157e-08,-2.6147845002351586e-08,-4.320087874624282e-08,-5.240851676847541e-08,9.219887165051651e-08,-6.743122904382169e-09,-6.6575282311847e-08,-4.149456035371874e-08,-1.2352331634825682e-09,-1.2860026823918015e-09,-1.6510709285604443e-09,-2.2683067457542254e-08,1.0451850667467714e-09,2.246964621605682e-08
72,-1.7267196109214243e-07,4.157638868477859e-08,-1.345155154067598e-07,-1.7596490651383853e-08,-1.4058573314922952e-07,2.719555417800495e-08,-1.289632076486802e-07,1.212532057540222e-08,-4.967234822978878e-10,9.564641057307537e-10,-1.6060932725153173e-07,3.3507419724432057e-08,9.723905259190204e-09,-2.1157146757762102e-08
73,1.8716667223012085e-07,5.414532418342853e-09,8.970567911332828e-08,5.795580677677752e-09,1.7184713751290917e-07,1.178287571896547e-08,4.4767567857598815e-08,-1.157979060666939e-08,1.1694818340262914e-09,9.687132450207386e-10,1.1850784033770705e-07,3.8027254516557235e-08,-1.150451220468129e-08,4.995292203438703e-09
